Unique ID,broadperiod,period,thickness,diameter,weight,axis,Primary material,axis_known,Manufacture method,Primary Material_n,URL,Manufacture Method_n,Image URL,Saved Image,length,height,width,obverseDescription,reverseDescription,obverseLegend,reverseLegend,reverseType,regionName,cultureName,inscription,objectCertainty,rulerName,mintName,denominationName,tribeName,categoryTerm,moneyerName
LEIC-E8BB61,POST MEDIEVAL,5,1.0,25.0,2.03,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230468,8,https://finds.org.uk/images/wscott/medium/E8BB61.JPG,LEIC-E8BB61.png,,,,left facing bust,royal crest quartered by a long cross,ELIZABDGANGFRETHI[BR]EGI,[POS]VIDEVADIVTO[REMM]EV,,East Midlands,,,Certain,Elizabeth I of England,London,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-E8A0B7,POST MEDIEVAL,5,0.5,21.0,0.98,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230463,8,https://finds.org.uk/images/wscott/medium/E8A0B7.JPG,LEIC-E8A0B7.png,,,,left facing bust,royal crest quartered by a long cross,EDGROSASINESPINA,[CIVITASLON]DON,,East Midlands,,,Certain,Elizabeth I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-E88243,POST MEDIEVAL,5,0.5,13.0,0.54,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230459,8,https://finds.org.uk/images/wscott/medium/E88243.JPG,LEIC-E88243.png,,,,worn left facing bust,royal crest quartered by a long cross,EDGROSASINESPINA,[CIVIT]ASLO[N]DON,,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-E85343,POST MEDIEVAL,5,0.5,13.0,0.48,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230452,8,https://finds.org.uk/images/wscott/medium/E85343.JPG,LEIC-E85343.png,,,,left facing bust,royal crest quartered by a long cross,EDGROSASINESPINA,LONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-E83482,POST MEDIEVAL,5,0.5,13.0,0.39,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230447,8,https://finds.org.uk/images/wscott/medium/E83482.JPG,LEIC-E83482.png,,,,left facing bust,royal crest quartered by a long cross,EDGROSASINESPINA,[CIVITAS]LON[DON],,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-E81686,POST MEDIEVAL,5,1.0,31.0,5.25,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230441,8,https://finds.org.uk/images/wscott/medium/E81686.JPG,LEIC-E81686.png,,,,left facing bust,royal crest quartered by a long cross,ELIZAB[ETHDGAN]GFRETHI[B]REGINA,POSVIDEVADIVTOR[E]MMEV,,East Midlands,,,Certain,Elizabeth I of England,London,Shilling,,English coin early Modern 1489 - 1660,
LEIC-E79B22,POST MEDIEVAL,5,1.0,30.0,5.48,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230439,8,https://finds.org.uk/images/wscott/medium/E79B22.JPG,LEIC-E79B22.png,,,,left facing bust,royal crest quartered by a long cross,ELIZA[BD]GANGFRETHIBREGI[NA],POSVIDEVADIVTOREMM[EV],,East Midlands,,,Certain,Elizabeth I of England,London,Shilling,,English coin early Modern 1489 - 1660,
LEIC-E75C14,POST MEDIEVAL,5,1.0,23.0,2.02,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230430,8,https://finds.org.uk/images/wscott/medium/E75C14.JPG,LEIC-E75C14.png,,,,left facing bust,royal crest quartered by a long cross,ELIZABETHDGAN[GFRETHI]REGINA,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,London,Groat (silver),,English coin early Modern 1489 - 1660,
LEIC-E6F7B4,POST MEDIEVAL,5,0.5,20.0,1.41,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230419,8,https://finds.org.uk/images/wscott/medium/E6F7B4.JPG,LEIC-E6F7B4.png,,,,left facing bust with rose behind,"royal crest quartered by long cross, 1565?",ELIZ[ABE]THDGANGFR[ETHIBR]EGINA,POSVIDEV[AD]IVTORE[MNEVM],,East Midlands,,,Certain,Elizabeth I of England,London,Threepence,,English coin early Modern 1489 - 1660,
IOW-D46C55,POST MEDIEVAL,5,,25.0,2.82,3.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230286,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-361.JPG,IOW-D46C55.png,,,,Crowned bust facing left with a rose behind the head,Square shield on long cross fourch?e dividing the inscription. Date of 1561 above shield,ELIZABETH D G ANG FR ET HI REGINA,POSVI/DEV/ADIVTOR/M MEV (I have made God my Helper),,South East,,,Certain,Elizabeth I of England,London,Sixpence,,English coin early Modern 1489 - 1660,
IOW-CF46B8,POST MEDIEVAL,5,,16.0,0.97,9.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/230234,8,https://finds.org.uk/images/fbasford/medium/IOW2008-16-1.JPG,IOW-CF46B8.png,,,,Crowned bust left with two pellets behind,Square shield on cross fourch?e,E D G ROSA SINE SPINA (A rose without thorns),CIVI/TAS/LON/DON,,South East,,,Certain,Elizabeth I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
IOW-6FFCC4,POST MEDIEVAL,5,,21.0,2.94,6.0,Silver,1,,8,https://finds.org.uk/database/artefacts/record/id/230011,8,https://finds.org.uk/images/fbasford/medium/IOW2008-15-1.JPG,IOW-6FFCC4.png,,,,Draped bust r. (nothing below bust),"Four shields within which are a harp, one lion rampant, three lion passant and three fleurs-de-lys, all around a central circle with the lion of Nassau within, creating a cruciform shape. Large crowns at cross terminals",GVLIELMVS.III.DEI.GRA,96.MAG BR.FRA ET.HIB REX.16,,South East,,,Certain,William III of England,London,Sixpence,,Modern,
IOW-ACD4F3,POST MEDIEVAL,5,,20.0,1.64,6.0,Copper alloy,1,Struck or hammered,2,https://finds.org.uk/database/artefacts/record/id/229068,2,https://finds.org.uk/images/fbasford/medium/IOW2008-2-191.JPG,IOW-ACD4F3.png,,,,Bust laur. dr. and cuir. r.,Three fleurs de lis (two over one),]XIII R D[,,,,,,,Louis XIII of France,,Double tournois (copper),,,
WAW-9CC331,POST MEDIEVAL,5,0.5,13.8,0.39,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228981,8,https://finds.org.uk/images/kleahy2/medium/Bourton Charles penny.jpg,WAW-9CC331.jpg,,,,Rose,Rose,C D G ROS[a si]NA SPINA,IVS THRONVM FIRMAT,,South West,,,Certain,Charles I of England,,Penny,,English coin early Modern 1489 - 1660,
WAW-9C72B1,POST MEDIEVAL,5,0.6,15.6,0.57,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228979,8,"https://finds.org.uk/images/kleahy2/medium/Claines, Elizabeth penny.jpg",WAW-9C72B1.jpg,,,,Crowned hd fcg left,Royal arms,E D G ROSA SINA SPINA,CIVITAS LONDON 1567,,West Midlands,,,Certain,Elizabeth I of England,,Penny,,English coin early Modern 1489 - 1660,
WAW-9C2C84,POST MEDIEVAL,5,0.6,15.9,0.82,12.0,Silver,1,Wheel made,8,https://finds.org.uk/database/artefacts/record/id/228978,8,"https://finds.org.uk/images/kleahy2/medium/Claines, Charles halfgroat.jpg",WAW-9C2C84.jpg,,,,"Crowned head facing left, with II behind",Royal arms,[carolv]S DG M[agbrit fra et hib r],IVSTITIA THR[onum firmat],,West Midlands,,,Certain,Charles I of England,,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-575A60,POST MEDIEVAL,5,0.5,19.0,1.2,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228873,8,https://finds.org.uk/images/wscott/medium/DSCN6512.JPG,LEIC-575A60.png,,,,left facing bust with Rose behind,royal crest quartered by long cross,ELIZABETHDGANGFRAETHIREGINA,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,London,Threepence,,English coin early Modern 1489 - 1660,
LEIC-2ED853,POST MEDIEVAL,5,1.0,21.0,2.92,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228626,8,https://finds.org.uk/images/wscott/medium/2ED853.JPG,LEIC-2ED853.png,,,,right facing laureate bust,five crests forming a cross,GVLIEMVSIIIDEIGRA,REXMAGBRIFRAETHIB,,East Midlands,,,Certain,William III of England,,Shilling,,Modern,
LEIC-2E91F5,POST MEDIEVAL,5,0.5,26.0,2.56,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228615,8,https://finds.org.uk/images/wscott/medium/2E91F5.JPG,LEIC-2E91F5.png,,,,left facing crowned bust with rose behind,Royal crest quartered by long cross,ELIZABETHDGANGFRAETHIBREGINA,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,London,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-028244,POST MEDIEVAL,5,0.5,19.0,1.07,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228308,8,https://finds.org.uk/images/wscott/medium/DSCN6458.JPG,LEIC-028244.png,,,,Right facing crowned bust,Royal crest quartered by long cross with keys in bottom half,HENRICVIIDIGRAREXANGZ,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Henry VII of England,York,Halfgroat (silver),,English coin Late Medieval 1377 - 1489,
LEIC-C52032,POST MEDIEVAL,5,0.25,13.0,0.38,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228233,8,https://finds.org.uk/images/wscott/medium/C51042.JPG,LEIC-C52032.png,,,,,,,,,East Midlands,,,Certain,Charles I of England,,Uncertain,,English coin early Modern 1489 - 1660,
LEIC-C51042,POST MEDIEVAL,5,0.5,16.0,0.7,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228232,8,https://finds.org.uk/images/wscott/medium/C52032.JPG,LEIC-C51042.png,,,,,,,,,East Midlands,,,Certain,,London,Uncertain,,English coin early Modern 1489 - 1660,
LEIC-C4DE34,POST MEDIEVAL,5,0.5,,1.41,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228229,8,https://finds.org.uk/images/wscott/medium/C4DE34.JPG,LEIC-C4DE34.png,20.0,,16.0,right facing crowned bust,royal crest quartered by long cross.,HENRICVII[...]C,ADIVTOREM,,East Midlands,,,Probably,Henry VIII of England,,Groat,,English coin early Modern 1489 - 1660,
WAW-C39DE5,POST MEDIEVAL,5,0.5,14.5,,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/228223,8,"https://finds.org.uk/images/kleahy2/medium/xBourton,P20Charles,P20penny.jpg.pagespeed.ic.WvMe2CJCAg.jpg",WAW-C39DE5.jpg,,,,"Rose, uncrowned","Rose, uncrowned",C C G ROSA[si]NE SPINA,IVS:THRONVM:FIRM [at],,South West,,,Certain,Charles I of England,,Penny,,English coin early Modern 1489 - 1660,
LEIC-2D84B5,POST MEDIEVAL,5,0.9,22.7,1.28,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227563,8,https://finds.org.uk/images/wscott/medium/2D84B5.JPG,LEIC-2D84B5.png,,,,Badly damaged but faint outlines of a bust are visible,Badly damaged with longcross and shield,[ELIZABETHDGANGFRAETHIBREGINA],[POSVIDEVADIVTOREMMEV],,East Midlands,,,Certain,Elizabeth I of England,,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-1D53E3,POST MEDIEVAL,5,1.0,24.0,1.6,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227535,8,https://finds.org.uk/images/wscott/medium/1D53E3.JPG,LEIC-1D53E3.png,,,,faint outline of bust and crown,long cross and shield,[ELI]ZABETHDG]ANGFRA[ETH]IBREG[INA],POSVI[DEVAD]IVTORE[MMEV],,East Midlands,,,Certain,Elizabeth I of England,,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-1D32C7,POST MEDIEVAL,5,1.0,25.5,2.38,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227532,8,https://finds.org.uk/images/wscott/medium/1D32C7 .JPG,LEIC-1D32C7.png,,,,no bust but traces of a partially visible rose,long cross and shield,[ELI]ZABETHDGAN[GFRAETHIBREGINA],[POSVIDEVADIVTOR]EMMEV,,East Midlands,,,Certain,Elizabeth I of England,,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-1CFA96,POST MEDIEVAL,5,1.1,18.4,0.97,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227526,8,https://finds.org.uk/images/wscott/medium/1CFA96 .JPG,LEIC-1CFA96.png,,,,faint outlines of a bust,Long cross and shield,,[POSVI]DIVA[DIVTOREMMEVM],,East Midlands,,,Certain,Elizabeth I of England,,Threepence,,English coin early Modern 1489 - 1660,
LEIC-1CB1E6,POST MEDIEVAL,5,1.0,17.0,1.07,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227520,8,https://finds.org.uk/images/wscott/medium/1CB1E6 .JPG,LEIC-1CB1E6.png,,,,left facing bust with II underneath crown,Decorative shield,CAROLUSDGMAGBRIFRETHIBREX,IVSTITIATHRONVMFIRMAT,,East Midlands,,,Certain,Charles I of England,,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-1C8B48,POST MEDIEVAL,5,1.0,17.0,0.82,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227513,8,https://finds.org.uk/images/wscott/medium/1C8B48 .JPG,LEIC-1C8B48.png,,,,Left facing bust with two pellets behind,long cross and shield,EDGRO[SAS]INES[PINA],CIVITASLONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-1C5B44,POST MEDIEVAL,5,0.5,16.0,0.65,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227510,8,https://finds.org.uk/images/wscott/medium/1C5B44 .JPG,LEIC-1C5B44.png,,,,too worn,faint outline of a long cross and shield,,,,East Midlands,,,Certain,Elizabeth I of England,,Groat (silver),,English coin early Modern 1489 - 1660,
LEIC-1C2AD3,POST MEDIEVAL,5,1.0,24.0,2.46,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227508,8,https://finds.org.uk/images/wscott/medium/1C2AD3.JPG,LEIC-1C2AD3.png,,,,left facing crowned bust with rose,Longcross and shield,ELIZABETHDGANGFRAETHIBREGINA,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-1C0650,POST MEDIEVAL,5,0.5,14.0,0.41,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227506,8,https://finds.org.uk/images/wscott/medium/1C0650 .JPG,LEIC-1C0650.png,,,,Left facing crowned bust,long cross and shield,EDROSASINESPINA,CIVITASLONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-1BBAB3,POST MEDIEVAL,5,0.8,16.0,1.0,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227502,8,https://finds.org.uk/images/wscott/medium/1BBAB3 .JPG,LEIC-1BBAB3.png,,,,Left facing bust with two pellets underneath crown,long cross and shield,EDROSASINESPINA,CIVITASLONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-1B8391,POST MEDIEVAL,5,0.2,9.0,0.18,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227501,8,https://finds.org.uk/images/wscott/medium/1B8391.JPG,LEIC-1B8391.png,,,,portcullis,long cross and pellets,,,,East Midlands,,,Certain,Elizabeth I of England,London,Halfpenny (silver),,English coin early Modern 1489 - 1660,
LEIC-1B1E45,POST MEDIEVAL,5,1.9,25.0,2.92,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227497,8,https://finds.org.uk/images/wscott/medium/1B1E45.JPG,LEIC-1B1E45.png,,,,Left facing bust with rose,Long cross and shield,ELIZABETHDGANGFRAETHIBREGINA,POSVIDEVADIVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-1A80A6,POST MEDIEVAL,5,1.0,16.0,0.68,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227489,8,https://finds.org.uk/images/wscott/medium/1A80A6 .JPG,LEIC-1A80A6.png,,,,no bust visible only crown,Longcross with shield,[EDG]ROSASPINA,[CIVITASL]ON[DON],,East Midlands,,,Certain,Elizabeth I of England,,Penny,,English coin early Modern 1489 - 1660,
LEIC-1A4277,POST MEDIEVAL,5,1.0,22.0,1.0,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227488,8,https://finds.org.uk/images/wscott/medium/1A4277.JPG,LEIC-1A4277.png,,,,,worn Longcross and shield,...GINA...,[POSVIDEVA]DIV[TOREMMEV],,East Midlands,,,Certain,Elizabeth I of England,,Groat (silver),,English coin early Modern 1489 - 1660,
LEIC-1A0F05,POST MEDIEVAL,5,1.9,19.0,1.44,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227483,8,https://finds.org.uk/images/wscott/medium/1A0F05 .JPG,LEIC-1A0F05.png,,,,faint outline of bust and rose,long cross and shield with 1566 above,ELIZABETHDGANG[FRAETHIBRE]GINA,POSVID[EVAD]IVTOREMMEV,,East Midlands,,,Certain,Elizabeth I of England,London,Threepence,,English coin early Modern 1489 - 1660,
LEIC-19B6D2,POST MEDIEVAL,5,1.9,18.0,0.87,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227475,8,https://finds.org.uk/images/wscott/medium/19B6D2 .JPG,LEIC-19B6D2.png,,,,faint outline of a bust,Long cross and shield with 1563 above,[EL]IZABE[TH]D[GANGFRAETHIBREGI]NA,[POSVI]DE[VADIVTOREMMEVM],,East Midlands,,,Certain,Elizabeth I of England,London,Threepence,,English coin early Modern 1489 - 1660,
LEIC-196A34,POST MEDIEVAL,5,1.0,12.5,0.43,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227468,8,https://finds.org.uk/images/wscott/medium/196A34..JPG,LEIC-196A34.png,,,,left facing bust,long cross with shield,EDROSASPINA,CIVITASLONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-18F991,POST MEDIEVAL,5,0.7,18.5,1.45,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227457,8,https://finds.org.uk/images/wscott/medium/18F991.JPG,LEIC-18F991.png,,,,right facing bust with rose next to crown,long cross with shield,ELIZABETHDGANGFRAETHIBREGINA,[P]OSVI[DV]ADIVTORE[MMEVM],,East Midlands,,,Certain,Elizabeth I of England,,Threepence,,English coin early Modern 1489 - 1660,
WAW-189E42,POST MEDIEVAL,5,1.7,22.0,4.72,-1.0,Copper alloy,0,Struck or hammered,2,https://finds.org.uk/database/artefacts/record/id/227436,2,"https://finds.org.uk/images/kleahy2/medium/080523 Farthing, Charles II.jpg",WAW-189E42.jpg,,,,"Laureate bust, left","Britannia, holding leaves, left",CAROLUS CAROLO,BRITANNIA / 1673 (?),,West Midlands,,,Certain,Charles II of England,,Farthing (Copper alloy),,Modern,
LEIC-068FB7,POST MEDIEVAL,5,0.9,24.0,1.55,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227336,8,https://finds.org.uk/images/wscott/medium/068FB7.JPG,LEIC-068FB7.png,,,,,,PHILLIPETMARIADGR[..],[..]MVSDEVMADIVTONO[STRVM],,East Midlands,,,Certain,Philip of Spain and Mary Tudor,London,Sixpence,,English coin early Modern 1489 - 1660,
LEIC-045D74,POST MEDIEVAL,5,0.5,12.5,0.58,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227276,8,https://finds.org.uk/images/wscott/medium/045D74.JPG,LEIC-045D74.png,,,,extremely worn,extremely worn,[M]AR[I]A,[TEM]PO[R]IS,,East Midlands,,,Certain,Mary I of England,London,Groat (silver),,English coin early Modern 1489 - 1660,
LEIC-041468,POST MEDIEVAL,5,1.0,14.0,0.57,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227255,8,https://finds.org.uk/images/wscott/medium/041468 .JPG,LEIC-041468.png,,,,"full body portrait, king on throne with sceptre",Long cross and shield flanked by TW,HDGROSASINESPINA,CIVITASDVRHAM,,East Midlands,,,Certain,Henry VIII of England,Durham,Penny,,English coin early Modern 1489 - 1660,
IOW-03BBB2,POST MEDIEVAL,5,,30.0,10.74,5.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227236,8,https://finds.org.uk/images/fbasford/medium/IOW2008-2-172a.JPG,IOW-03BBB2.png,,,,"Crowned arms of Portugal, value 200",Voided cross potent; countermark ('carimbo'): 250 crowned with a small cross pomm?e,[IO]ANNES IIII D G RE[X POR]TVG[ALI],"IN HOC SIG[NO VIN]CES (by this sign, Conquer)",,South East,,,Certain,,,Uncertain,,Non English coin,
LEIC-F29F36,POST MEDIEVAL,5,0.9,20.0,1.35,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227179,8,https://finds.org.uk/images/wscott/medium/F29F36 .JPG,LEIC-F29F36.png,,,,Facing crowned bust,Long cross and pellets,HENRICVSDEIGRAREXANGLIEETFRANCDNSIBAR,POSVIDEVMADIVTOREMMEVM,,East Midlands,,,Certain,,York,Groat (silver),,English coin early Modern 1489 - 1660,
LEIC-F22745,POST MEDIEVAL,5,0.5,13.0,0.29,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227163,8,https://finds.org.uk/images/wscott/medium/F22745 .JPG,LEIC-F22745.png,,,,Left facing bust,A royal crest quartered by a long cross,EDGROSASINESPINA,CIVITASLONDON,,East Midlands,,,Certain,Elizabeth I of England,London,Penny,,English coin early Modern 1489 - 1660,
LEIC-5D1FB1,POST MEDIEVAL,5,0.25,23.0,1.23,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226332,8,https://finds.org.uk/images/wscott/medium/5D1FB1.JPG,LEIC-5D1FB1.png,,,,left facing crowned bust,Royal crest quartered by long cross,[MA]RIADG[ANGFRAET]HIB[REGINA],FILIAVERITA[STEMPORIS],,East Midlands,,,Certain,Mary I of England,,Groat (silver),,English coin early Modern 1489 - 1660,
WMID-0B4963,POST MEDIEVAL,5,,24.8,4.6,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226035,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 5 obv.jpg,WMID-0B4963.jpg,,,,(Head right),Unclear,[      ]MVS[         ],Unclear,,West Midlands,,,Certain,William III of England,,Shilling,,Modern,
WMID-0B2844,POST MEDIEVAL,5,,20.7,2.8,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226032,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 6 obv.jpg,WMID-0B2844.jpg,,,,"Head 1, right.",Four cruciform shields around lion of Nassau.  Irish harp is the early variant.,GVLIELMVS III DEI GRA,MAG BR FRA ET HIB REX 16[9](6),,West Midlands,,,Certain,William III of England,London,Sixpence,,Modern,
WMID-0B1485,POST MEDIEVAL,5,,25.4,5.2,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226029,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 4 obv.jpg,WMID-0B1485.jpg,,,,"Head, right.",Unclear,GVLIELMVS III [   ](GR)ASecond V appears to have a bar accross its centre (ie upside down A),[ ](  ) BR [   ] ET HIB (R)EX [    ],,West Midlands,,,Certain,William III of England,London,Shilling,,Modern,
WMID-0B0352,POST MEDIEVAL,5,,26.2,5.7,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226028,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 3 obv.jpg,WMID-0B0352.jpg,,,,"Head 1, right.",Four cruciform shields around lion of Nassau.,GVLIELMVS III DEI GRA,MAG BR FRA ET HIB REX 1696,,West Midlands,,,Certain,William III of England,London,Shilling,,Modern,
WMID-0AE756,POST MEDIEVAL,5,,25.5,5.9,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226026,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 2 obv.jpg,WMID-0AE756.jpg,,,,"Head 1, right.",Four cruciform shields around lion of Nassau.,GVLIELMVS III DEI GRA,MAG BR FRA ET HIB REX 1696,,West Midlands,,,Certain,William III of England,London,Shilling,,Modern,
WMID-0AB7D3,POST MEDIEVAL,5,,26.5,5.8,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/226025,8,https://finds.org.uk/images/dslarke/medium/will 3 7 08 1 obv.jpg,WMID-0AB7D3.jpg,,,,"Head 1, right, heavy incisions on bust.",Four cruciform shields around lion of Nassau.,GVLIELMVS III DEI GRA,MAG BR FRA ET HIB REX 1695,,West Midlands,,,Certain,William III of England,London,Shilling,,Modern,
LEIC-F0F5B7,POST MEDIEVAL,5,0.25,16.0,0.9,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/225821,8,https://finds.org.uk/images/wscott/medium/DSCN5957.JPG,LEIC-F0F5B7.png,,,,left facing crowned bust with II behind,royal crest in oval border,CAROLVSDGANGFETHREX,IVSTITIATHRONVMFIRMAT,,East Midlands,,,Certain,Charles I of England,,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-F0E257,POST MEDIEVAL,5,0.25,18.0,0.8,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/225817,8,https://finds.org.uk/images/wscott/medium/DSCN5942.JPG,LEIC-F0E257.png,,,,Left facing crowned bust with II behind,Royal crest in oval border,CAROLVSREXDGANGFETHREX,IVSTITIATHRONVMFIRMAT,,East Midlands,,,Certain,Charles I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
IOW-213336,POST MEDIEVAL,5,,17.9,0.89,9.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/224962,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-336.JPG,IOW-213336.png,,,,"First bust right; beind head, II (mark of value)",Square shield with mintmark (thistle) above,I D G ROSA SINE SPINA (A rose without thorns),No inscription,,South East,,,Certain,James I of England,London,Halfgroat (silver),,English coin early Modern 1489 - 1660,
LEIC-E0D2E5,POST MEDIEVAL,5,1.0,13.0,0.68,-1.0,Copper alloy,0,Struck or hammered,2,https://finds.org.uk/database/artefacts/record/id/224775,2,https://finds.org.uk/images/wscott/medium/1583.JPG,LEIC-E0D2E5.png,,,,faint crown outline visible,traces of rose,nothing visible,nothing visible,,East Midlands,,,Certain,James I of England,London,Farthing (Copper alloy),,English coin early Modern 1489 - 1660,
